# Possibilities.csv																																		
# Massive list of possibilities to choose from	1	0	-100	0	0	0	-4	-4	-4	-4	-4	0	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
# Home alone things (Weekend)																																		
#	BW	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R
Watch Westworld Season 2 together	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Do some yoga together	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Try a new exercise video together	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Space out together for awhile	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Talk about your innermost feelings	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Complain about your stressful weeks	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Just lay on the couch	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Complain about your roommate	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Read books together	1	0	-100	18	0	1	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
# Anytime things																																		
Refill your water bottle	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Space out a little	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Breathe air	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Enjoy life	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
It immediately doesn't become opposite day	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
I lost the game	1	0	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
																																		
# Out alone things (Weekends)																																		
Go watch a movie	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to an art gallery	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to a museum	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go attempt to buy new clothes	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go on a hike	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go get some fancy espresso drink	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go hang out with Mindy	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go grocery shopping	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
																																		
																																		
# Out together things (Weekends)																																		
Go watch a movie together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to an art gallery together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go to a museum together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go attempt to buy new clothes together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Go play bar trivia together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Find a concert to go to	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Walk around until you find something interesting	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
